ID;FILE_SPIS;FILE_SPPS;IMG_PART;PART_NO_FSI;CUSTOMER;CUSTOMER_CODE;PART_NO_CUSTOMER;QR_LABEL;PART_NAME;MODEL;SUPPLIER_CODE;QTY_BOX;STORAGE;NO-BOX;MIN_STOCK;MAX_STOCK;STATUS_PART;;;;;;;;
1;;;;71845-BZ010;ADM;100071;D71845-BZ010-001;;CAP RR SEAT COVER;D01N;TSSI;;Zona A Box 1;A-001;10;100;RUNOUT;D71845-BZ010-001ADMZona A Box 1;1;;;;;;
2;;;;71845-BZ010;TAM;FSIZ/FSI1;71845BZ010;;CAP RR SEAT COVER;D01N;TSSI;;Zona A Box 1;A-001;10;100;RUNOUT;71845BZ010TAMZona A Box 1;1;;;;;;
3;;;;71845-BZ010;TMMIN;TUNIQ/T022;T71845-BZ010-001;;CAP RR SEAT COVER;D01N;TSSI;;Zona A Box 1;A-001;10;100;RUNOUT;T71845-BZ010-001TMMINZona A Box 1;1;;;;;;
4;;;;72637-BZ090;ADM;100071;D72637-BZ090-001;;HANDLE RR SEAT BACK LOCK;D99B;CDM;;Zona A Box 2;A-002;10;100;RUNOUT;D72637-BZ090-001ADMZona A Box 2;1;;;;;;
5;;;;72637-BZ090;TAM;FSIZ/FSI1;72637BZ090;;HANDLE RR SEAT BACK LOCK;D99B;CDM;;Zona A Box 2;A-002;10;100;RUNOUT;72637BZ090TAMZona A Box 2;1;;;;;;
6;;;;72637-BZ090;TMMIN;TUNIQ/T022;T72637-BZ090-001;;HANDLE RR SEAT BACK LOCK;D99B;CDM;;Zona A Box 2;A-002;10;100;RUNOUT;T72637-BZ090-001TMMINZona A Box 2;1;;;;;;
7;;;;72310-BZ040;ADM;100071;D72310-BZ040-001;;WIRE SEAT TRACK EQUALIZING (SPRING CONNICAL 9004A-50041 / WIRE 72311-BZ010)               ;D16D/D83T;TOSAMA;;Zona A Box 3;A-003;10;100;RUNOUT;D72310-BZ040-001ADMZona A Box 3;1;;;;;;
8;;;;72310-BZ040;TAM;FSIZ/FSI1;72310BZ040;;WIRE SEAT TRACK EQUALIZING (SPRING CONNICAL 9004A-50041 / WIRE 72311-BZ010)               ;D16D/D83T;TOSAMA;;Zona A Box 3;A-003;10;100;RUNOUT;72310BZ040TAMZona A Box 3;1;;;;;;
9;;;;72310-BZ040;TMMIN;TUNIQ/T022;72310-BZ040-001;;WIRE SEAT TRACK EQUALIZING (SPRING CONNICAL 9004A-50041 / WIRE 72311-BZ010)               ;D16D/D83T;TOSAMA;;Zona A Box 3;A-003;10;100;RUNOUT;72310-BZ040-001TMMINZona A Box 3;1;;;;;;
10;;;;71812-87Z03;ADM;100071;D71812-87Z03-001;;RING HOG SMALL;D40D;MEIHO;;Zona A Box 4;A-004;10;100;RUNOUT;D71812-87Z03-001ADMZona A Box 4;1;;;;;;
11;;;;71812-87Z03;TAM;FSIZ/FSI1;7181287Z03;;RING HOG SMALL;D40D;MEIHO;;Zona A Box 4;A-004;10;100;RUNOUT;7181287Z03TAMZona A Box 4;1;;;;;;
