ID;MODEL;VARIANT;PART_NO;QR_SUPPLIER;PART_NAME;QTY_BOX;SUPPLIER_NAME;MIN;MAX;POS_LEVEL;C_NO;SENSOR_NO;RANGE_SENSOR;RACK_ACTUAL;RACK_ID;IMG_PART;STATUS;UPDATE_BY;UPDATE_TIME
1;D74;FR LH;73230-BZE40;73230-BZE40;BELT ASSY,FR SEAT,INNER;30;AUTOLIV;1;2;Posting1;1;1;20;A1-1-1;1;;Active;admin_rsi;
2;D55L;FR LH;71812-BZ270;71812-BZ270;BELT ASSY,FR SEAT;30;AUTOLIV;1;2;Posting1;1;2;20;A1-1-3;2,3;;Active;admin_rsi;
3;D55L;FR LH;73230-BZB61;73230-BZB61;BELT ASSY,FR SEAT;30;AUTOLIV;1;2;Posting1;1;3;20;A1-1-4;4;;Active;admin_rsi;
4;D55L;FR LH;73230-BZB51;73230-BZB51;BELT ASSY,FR SEAT,INNER;30;AUTOLIV;1;2;Posting1;1;4;20;A1-1-5;5;;Active;admin_rsi;
5;D30D;FR LH;73230-BZ880;5F2;BELT ASSY,FR SEAT;50;SUNGWOO;1;3;Posting1;1;5;20;A1-1-6;6;;Active;admin_rsi;
6;D74;FR LH;73230-BZE50;73230-BZE50;BELT ASSY,FR SEAT,INNER;30;AUTOLIV;1;2;Posting1;1;6;20;A1-1-7;7,8;;Active;admin_rsi;
7;D74;FR LH;73230-BZE30;73230-BZE30;BELT ASSY,FR SEAT,INNER;30;AUTOLIV;1;2;Posting1;1;7;20;A1-1-8;9;;Active;admin_rsi;
8;D30D;FR LH;73230-BZ790;73230-BZ790;BELT ASSY FR SEAT INNER;30;TRSI;1;3;Posting1;1;8;20;A1-1-9;10;;Active;admin_rsi;
9;D30D;RR1 LH;73340-BZ180;613;BELT ASSY, RR SEAT LAP TYPE CTR LH;30;SUNGWOO;1;2;Posting1;1;9;20;A1-1-10;11,12;;Active;admin_rsi;
10;D74;FR RH;73230-BZE40;73230-BZE40;BELT ASSY,FR SEAT,INNER;30;AUTOLIV;1;2;Posting2;2;1;20;A2-1-1;1;;Active;admin_rsi;
11;D55L;FR RH;73230-BZA71;73230-BZA71;BELT;30;AUTOLIV;1;2;Posting2;2;2;20;A2-1-2;2;;Active;admin_rsi;
12;D55L;FR RH;73230-BZB61;73230-BZB61;BELT;30;AUTOLIV;1;2;Posting2;2;3;20;A2-1-3;3;;Active;admin_rsi;
13;D55L;FR RH;73230-BZB51;73230-BZB51;BELT;30;AUTOLIV;1;2;Posting2;2;4;20;A2-1-4;4;;Active;admin_rsi;
14;D52L;FR RH;73230-BZ590;73230-BZ590;BELT ASSY,FR SEAT,INNER ;25;TRSI;1;3;Posting2;2;5;20;A2-1-5;5;;Active;admin_rsi;
15;D30D;FR RH;73230-BZ880;5F2;BELT ASSY,FR SEAT;50;SUNGWOO;1;3;Posting2;2;6;20;A2-1-6;6;;Active;admin_rsi;
16;D74;FR RH;73230-BZE50;73230-BZE50;BELT ASSY FR SEAT INNER;30;AUTOLIV;1;2;Posting2;2;7;20;A2-1-7;7;;Active;admin_rsi;
17;D74;FR RH;73230-BZE30;73230-BZE30;BELT ASSY FR SEAT INNER;30;AUTOLIV;1;2;Posting2;2;8;20;A2-1-8;8;;Active;admin_rsi;
18;D52L;FR RH;73230-BZ790;73230-BZ790;BELT ASSY,FR SEAT,INNER ;25;TRSI;1;3;Posting2;2;9;20;A2-1-9;9;;Active;admin_rsi;
19;D30D;RR1 RH;73330-BZ190;5F3;BELT ASSY RR SEAT LAP TYPE CTR RH (DMC);30;SUNGWOO;1;3;Posting2;2;10;20;A2-1-10;10;;Active;admin_rsi;
20;D30D;RR1 RH;73330-BZ200;;BELT ASSY, RR SEAT LAP TYPE CTR RH;30;SUNGWOO;1;3;Posting2;2;11;20;A2-1-11;11;;Active;admin_rsi;
21;D55L;RR2;73350-BZ180;73350-BZ180;BELT ASSY, RR SEAT, OUTER CTR;12;AUTOLIV;1;3;Posting3;3;1;20;A3-1-1;1;;Active;admin_rsi;
22;D30D;RR2;73060-BZ090;5FC;BELT ASSY, RR2 LAP, CTR W/INNER;60;SUNGWOO;1;3;Posting3;3;2;20;A3-1-2;2;;Active;admin_rsi;
23;D55L;FR RH;73910-BZ040;73910-BZ040;AIR BAG ASSY, FR SEAT, RH;6;TGI;1;6;Posting4;4;1;20;A4-1-1;1;;Active;admin_rsi;
24;D55L;FR LH;73920-BZ040;73920-BZ040;AIR BAG ASSY, FR SEAT, LH;6;TGI;1;6;Posting4;4;2;20;A4-1-2;2;;Active;admin_rsi;
