ID;file_spps;file_spis;img_part;PART_NO_FSI;CUSTOMER;CUSTOMER_CODE;PART_NO_CUSTOMER;QR_LABEL;PART_NAME;MODEL;SUPPLIER_CODE;QTY_BOX;STORAGE;NO_BOX;MIN_STOCK;MAX_STOCK;STATUS_PART
1;;;;72526-BZ100-B0;TAM;FSIZ;72526BZ100B0;1;HANDLE,REC ADJ,LH;D12L/D17D/D94B;TSC;50;Zona A;A-007;0;0;Run Out
2;;;;72695-BZ060-00;ADM;100071;D72695-BZ060-001;;CABLE, RR SEAT LOCK CONT;;FSI;0;Zona A;A-008;0;0;Running
3;;;;72525-BZ110-E0;TAM;FSIZ;72525BZ110E0;;HANDLE,REC ADJ,RH;D12L/D17D/D94B;TSC;50;Zona A;A-098;5;10;Run Out
4;;;;72525-BZ110-B0;TAM;FSIZ;72525BZ110B0;;HANDLE,REC ADJ,RH;D12L/D17D/D94B;TSC;50;Zona A;A-099;3;6;Run Out
5;;;;72179-BZ030;TAM;FSIZ;72179BZ030;;CUSHION,RR SEAT;;FSI;0;Zona A;A-004;1;5;Running
6;;;;71931-BZ060-B0;TAM;FSIZ;71931BZ060B0;;SUPPORT FR H/REST RH;;FSI;0;Zona A;A-003;1;5;Running
7;;;;71930-BZ050-B0;TAM;FSIZ;71930BZ050B0;;SUPPORT ASSY FR SEAT;;FSI;0;Zona A;A-002;1;5;Running
8;;;;71910-BZE10-C1;TAM;FSIZ;71910BZE10C1;;HEADREST A/S FR SEAT;;FSI;0;Zona A;A-001;1;5;Running
9;;;;D71410-BZ490-B01;ADM;FSIZ;D71410-BZ490-B01;;CUSHION ASSY, FR SEAT, R;;FSI;10;Zona B;B-002;1;5;Running
10;;;;71073-BY030-C0;TMMIN;FSIZ;71073-BY030-C0;;COVER SUB-ASSY, FR SEAT BACK, RH;;FSI;10;Zona B;B-003;1;5;Running
11;;;;T21552-BZ020-001;TMMIN - ADM;FSIZ;T21552-BZ020-001;;BUSH;;FSI;10;Zona B;B-004;1;5;Running
