ID;PART_NO_FSI;INITIAL_DATE;INITIAL_BY;INITIAL_STOCK;STOCK;LAST_UPDATE_IN;PIC_UPDATE_IN;LAST_UPDATE_OUT;PIC_UPDATE_OUT
1;71845-BZ010;16/02/2023;Admin;0;0;;;;
2;72637-BZ090;16/02/2023;Admin;0;0;;;;
3;72310-BZ040;16/02/2023;Admin;0;0;;;;
4;71812-87Z03;16/02/2023;Admin;0;0;;;;
5;72525-BZ010-A0;16/02/2023;Admin;0;0;;;;
6;72526-BZ010-A0;16/02/2023;Admin;0;0;;;;
7;72525-BZ010-E0;16/02/2023;Admin;0;0;;;;
8;72526-BZ010-E0;16/02/2023;Admin;0;0;;;;
9;72525-BZ010-B0;16/02/2023;Admin;0;0;;;;
10;72526-BZ010-B0;16/02/2023;Admin;0;0;;;;
11;72694-BZ030-E0;16/02/2023;Admin;0;0;;;;
12;72694-BZ010-B0;16/02/2023;Admin;0;0;;;;
13;72694-BZ010-A0;16/02/2023;Admin;0;0;;;;
14;71930-87Z05-E0;16/02/2023;Admin;0;0;;;;
15;71930-87Z05-B0;16/02/2023;Admin;0;0;;;;
16;71811-BZ010-A0;16/02/2023;Admin;0;0;;;;
17;71930-BZ040-E0;16/02/2023;Admin;0;0;;;;
18;71811-BZ010-E0;16/02/2023;Admin;0;0;;;;
19;71812-BZ010-E0;16/02/2023;Admin;0;0;;;;
20;71931-87Z04-B0;16/02/2023;Admin;0;0;;;;
21;71930-BZ040-B0;16/02/2023;Admin;0;0;;;;
22;71812-BZ010-A0;16/02/2023;Admin;0;0;;;;
23;71930-BZ010-E0;16/02/2023;Admin;0;0;;;;
24;71812-BZ010-B0;16/02/2023;Admin;0;0;;;;
25;71931-BZ030-E1;16/02/2023;Admin;0;0;;;;
26;71930-BZ010-B0;16/02/2023;Admin;0;0;;;;
27;71930-BZ040-E1;16/02/2023;Admin;0;0;;;;
28;71931-BZ030-E0;16/02/2023;Admin;0;0;;;;
29;71811-BZ010-B0;16/02/2023;Admin;0;0;;;;
30;71931-BZ020-E0;16/02/2023;Admin;0;0;;;;
31;79012-BZ020-E0;16/02/2023;Admin;0;0;;;;
32;71692-BZ030-E0;16/02/2023;Admin;0;0;;;;
33;79011-BZ020-E0;16/02/2023;Admin;0;0;;;;
34;71931-BZ020-A0;16/02/2023;Admin;0;0;;;;
35;71931-BZ020-B0;16/02/2023;Admin;0;0;;;;
